part_number,description,unit,category,related_equipment,par_level
96522103,CURT 20.5X24.5 ECNVR,Each,Equipment,WAREWASHING EQUIPMENT,6
96021548,CURT LONG (21''LG) ES44,Each,Equipment,WAREWASHING EQUIPMENT,6
96021555,CURT SHORT 12LG ES44,Each,Equipment,WAREWASHING EQUIPMENT,6
96040983,CURTAIN 19''LONG WH-66,Each,Equipment,WAREWASHING EQUIPMENT,7
96023999,CURTAIN HOOK MID ES44,Each,Equipment,WAREWASHING EQUIPMENT,2
92632007,DIGIFOAM DISP BLK 1PK,Each,Equipment,HAND AND SKIN HYGIENE,2
83102269,DISCONN FEM 1/4 16-14 BLU,Each,Equipment,WAREWASHING EQUIPMENT,70
83102244,DISCONN FEM 1/4 22-18RED,Each,Equipment,WAREWASHING EQUIPMENT,15
96521021,DISHMACH VENT FAN CNTRL KIT,Each,Equipment,WAREWASHING EQUIPMENT,2
96025200,DOOR MAGNET,Each,Equipment,WAREWASHING EQUIPMENT,18
92042027,DPHM SLND VLV VTN,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92631282,DUAL GALLON BTL HLDR PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92332047,ECL AFVT TST STRIP 0-2 OZ/GAL 100/VIAL,Each,Equipment,FOOD SAFETY SOLUTIONS,2
85635266,ELB 1/2TX1/4MNPT PP W/PG,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85634350,ELB 1/4TX1/4MNPT BRNP SA,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
85633007,ELB 90 1/2SHRKBT,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
85633008,ELB 90 3/4SHRKBT,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
85635015,ELB 90DEG 3/8TX3/8T PUSH,Each,Equipment,EQUIPMENT AND SPARE PARTS,22
85635004,ELB SWVL 3/8TX3/8MNPTPUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,23
85635192,ELB UN 3/8TX1/4T PP PUSHIN,Each,Equipment,EQUIPMENT AND SPARE PARTS,13
93032023,ELECTRODE ORP RED BNC,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
93032018,ELECTRODE PH BLU BNC,Each,Equipment,WAREWASHING EQUIPMENT,4
89001006,ELEM HTR 6KW 208V 15,Each,Equipment,WAREWASHING EQUIPMENT,2
89001016,ELEM HTR IMRS 15KW/208 FLG,Each,Equipment,WAREWASHING EQUIPMENT,2
89001015,ELEM HTR IMRS 2KW/120/1 FLG,Each,Equipment,WAREWASHING EQUIPMENT,3
96633159,END CAP WASH ARM OMEGA5E,Each,Equipment,WAREWASHING EQUIPMENT,10
96581400,ENDCAP RNS ARM SST,Each,Equipment,WAREWASHING EQUIPMENT,20
96020482,ES44 CNVR GSKT RNS ASSY,Each,Equipment,WAREWASHING EQUIPMENT,36
96027610,EXTENDED DOG ES4400,Each,Equipment,WAREWASHING EQUIPMENT,9
92651007,FIRST IMPR ARSLDISP 1PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
53003940,FLEX PAK SCOUT INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96024344,FTG 1/4 BRS ET1 IMPERIAL,Each,Equipment,WAREWASHING EQUIPMENT,30
84807841,FTG INJ 1/4NPTX1/4T,Each,Equipment,WAREWASHING EQUIPMENT,9
83900241,FU 1/4X1-1/4 1.5A 250V,Each,Equipment,WAREWASHING EQUIPMENT,10
83900944,FU 50A 300V,Each,Equipment,WAREWASHING EQUIPMENT,3
50001197,FU TD 5MMX20MM 16A 250VAC,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
83900340,FUSE 1/4X1-1/4 2A 250V,Each,Equipment,EQUIPMENT AND SPARE PARTS,10
89009104,GA TEMP 100TO220F 4FT CPLRY,Each,Equipment,WAREWASHING EQUIPMENT,4
96522112,GDE DR HI HOOD EC,Each,Equipment,WAREWASHING EQUIPMENT,3
92231091,GEOCENTER W/CELL PKD,Each,Equipment,KITCHEN HYGIENE,3
96620328,GLD DR 20.25 UHMWPE,Each,Equipment,WAREWASHING EQUIPMENT,2
96552336,GLD DR 23.5 UHMWPE,Each,Equipment,WAREWASHING EQUIPMENT,4
92151022,GREASELIFT BTL W/SPY FMR 4PK,Each,Equipment,WAREWASHING EQUIPMENT,6
53004114,GREASELIFT INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
83113076,GROM 3/8X1/4X1/16 RBR BN,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
89990121,GRS SILCNE 3OZ TUBE,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92232800,GS PRESOAK TIMING CYL ASSY,Each,Equipment,WAREWASHING EQUIPMENT,3
96041934,GSKT AIRGAP OMEGA5,Each,Equipment,WAREWASHING EQUIPMENT,3
96020094,GSKT BSTR HTR SNTPRN ES44,Each,Equipment,WAREWASHING EQUIPMENT,27
96522147,GSKT DRIVE GUTTER EC,Each,Equipment,WAREWASHING EQUIPMENT,6
96582903,GSKT DRN SEAT PENT,Each,Equipment,WAREWASHING EQUIPMENT,10
87250200,GSKT HTR ELEM,Each,Equipment,WAREWASHING EQUIPMENT,4
96025093,GSKT HTR SNTPRN,Each,Equipment,WAREWASHING EQUIPMENT,9
96584073,GSKT HTR WASH SNTPRN,Each,Equipment,WAREWASHING EQUIPMENT,9
96522017,GSKT HTR WASH TK SNTPRN,Each,Equipment,WAREWASHING EQUIPMENT,15
96552864,GSKT MANF WASH SILCNE,Each,Equipment,WAREWASHING EQUIPMENT,4
96020060,GSKT MOT MT EC,Each,Equipment,WAREWASHING EQUIPMENT,36
84805944,GSKT WSH PMP FCPLT SILCNE,Each,Equipment,WAREWASHING EQUIPMENT,9
92633825,HANDSOAP BULK DISP,Each,Equipment,HAND AND SKIN HYGIENE,2
92152270,HI FLW FLEX GAP PKD PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
92294040,HLDR WL CHT OAS144,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
96522098,HOOK CURT COM EC MACH,Each,Equipment,WAREWASHING EQUIPMENT,2
85783016,HOSE BARB 1/2HSX3/4MNPT BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
85785030,HOSE BARB 3/8HSX3/8MNPT KYN,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
92004902,HOSE WTR 1/2IDX5FT RBR BLK,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
94802188,HOSE WTR 3/8IDX6FT NSF,Each,Equipment,EQUIPMENT AND SPARE PARTS,6
96582052,IMPLR FL 5.7OD ES6600,Each,Equipment,WAREWASHING EQUIPMENT,2
96569983,KEY JCKSN,Each,Equipment,WAREWASHING EQUIPMENT,2
87029047,KEY REPL ENCL LOCK 176,Each,Equipment,EQUIPMENT AND SPARE PARTS,23
87020025,KEY REPL ENCL LOCK D30,Each,Equipment,EQUIPMENT AND SPARE PARTS,23
53003988,KYSTN RAPID MSDC CVRSN KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
92592670,LAUNDRY ID TAG KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53001927,LDS BTLACTV SB EGAP DISP2PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
53001924,LDS MB 3.5GPM AG DISP 2PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
53001922,LDS MB 3.5GPM EGAP DISP 2PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
53002747,LDS REPL MB EGAP ASPRTR,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53002746,LDS REPL SB EGAP ASPRTR,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53002751,LDS REPL WTR VLV DPHM,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53001925,LDS SB 1GPM AG DISP 2PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53001923,LDS SB 1GPM EGAP DISP 2PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
53002858,LDS WATER VALVE RPR KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96522162,LKGE PAWL BAR EC WLDMT,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
92152269,LO FLW FLEX GAP PKD PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
87020822,LOCK CAM ENCL 176 KEY 13/16,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
87020027,LOCK W/ 15/16 STRT CAM ASSY,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
87020031,LOCK W/90 DEG BEND CAM ASSY,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
96521025,LWR RNS ASSY LOW FLW EC,Each,Equipment,WAREWASHING EQUIPMENT,2
92151296,MAXX DLACTN FLR INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
83710060,MOT 1/4HP 208-230/460V 3PH,Each,Equipment,WAREWASHING EQUIPMENT,4
96020045,MOT 2HP 208-230/460V 3PH,Each,Equipment,WAREWASHING EQUIPMENT,5
83710418,MOT 3/4HP 115/230V 1PH PKD,Each,Equipment,WAREWASHING EQUIPMENT,9
92023087,NEXA CMPCT MNL DISP BLK 1PK,Each,Equipment,HAND AND SKIN HYGIENE,10
92023088,NEXA CMPCT MNL DISP WHT 1PK,Each,Equipment,HAND AND SKIN HYGIENE,5
92023091,NEXA MNL CLSC DISP BLK 1PK,Each,Equipment,HAND AND SKIN HYGIENE,10
92023093,NEXA MNL CLSC DISP WHT 1PK,Each,Equipment,HAND AND SKIN HYGIENE,6
92023713,NEXA MNL CMPCT BLK KYSTN1PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
92021192,NEXA TF CLSC DISP BLK 1PK,Each,Equipment,HAND AND SKIN HYGIENE,3
53001468,NORNS ALK FLRCLNR INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,6
96522223,NOZ EC LWR RNS .050 ORF DIA,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
96522224,NOZ EC UPR RNS .056 ORF DIA,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85312003,NOZ VJET 1/8MPT 65DEG .6GPM,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
85312002,NOZ VJET 1/8MPT 80DEG .8GPM,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
88429113,NUT LOCK 1/4-20 W/NYL INSR 304SST,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
88419007,NUT LOCK 3/8-16 W/NYL INSR 304SST,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
96582034,NUT WING 1/4-20 ES4400,Each,Equipment,WAREWASHING EQUIPMENT,7
92151197,OAS 146 MULTIQUAT INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
92151373,OAS 73 INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92151367,OAS BIOENZ ELMNTR INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92151337,OAS HPF NEUT FLR INSTL KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92291003,OASIS 1GAL PU PRB KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
92291350,OASIS WALL RACK PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,11
92631258,ONE GALLON BOTTLE HLDR PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
92151313,OP 2X2L PROD HLDR WHTA PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
53001857,PATHWAYS DRAINBRAIN PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92612000,PERSTLC PUMP REPL TBG EPDM 12PK,Each,Equipment,WAREWASHING EQUIPMENT,7
92180892,PERSTLC TBG 1/2CC KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
92180884,PERSTLC TBG 1/4CC KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92180876,PERSTLC TBG 2CC KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
93202272,PLUG BYP SMF 6,Each,Equipment,WATER FILTRATION AND SOFTENING,4
86139110,PLUG PIPE 1/4 HEX PVC,Each,Equipment,POOL AND SPA,2
96562715,PMP CNTFGL COMPL,Each,Equipment,WAREWASHING EQUIPMENT,4
53007555,PMP DPHM .165-.255LPM 24V,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
50000511,PMP DPHM .4L/MIN PP,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
96852004,PMP&MOT ASSY 1HP 115/60/1,Each,Equipment,EQUIPMENT AND SPARE PARTS,5
96582025,PMP&MOT ASSY W/ MTG BRKT,Each,Equipment,WAREWASHING EQUIPMENT,4
92001163,PU PRB KIT 1/2 W/CHK VLV,Each,Equipment,EQUIPMENT AND SPARE PARTS,22
92001221,PU PRB KIT 3/8 W/CHK VLV,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92232196,PWA APEX NGC I/O,Each,Equipment,WAREWASHING EQUIPMENT,3
92121045,PWAP VANGUARD 2026,Each,Equipment,EQUIPMENT AND SPARE PARTS,13
92642530,QUAT TEST PAPERS QT-40,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
92018480,QUIKFILL SIDEKICK W/THD KIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92632026,RINSE CUPS,Each,Equipment,HOUSEKEEPING,6
92171271,RINSE INJ CHECK VALVE KIT,Each,Equipment,WAREWASHING EQUIPMENT,6
92181005,RINSE MAX IID PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92223692,RK WIRE 2L HLDR COLPS SST,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
92652403,RK WIRE 6 UNIV PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92152306,RK WIRE BAG HLDR 2.5GAL WHT PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92292006,RK WL AEROLITE XP 1PROD,Each,Equipment,WAREWASHING EQUIPMENT,4
92292007,RK WL AEROLITE XP 2PROD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
96522200,RLR DRIVE INR EC MACH,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
96584123,RLY 240V 2P ES18 JCKSN,Each,Equipment,WAREWASHING EQUIPMENT,4
96582895,RLY CONT 120V,Each,Equipment,WAREWASHING EQUIPMENT,4
96021159,RLY MT 3PDT 120V TOP,Each,Equipment,WAREWASHING EQUIPMENT,4
83000398,RLY PLUG-IN DPDT 240V 5A,Each,Equipment,WAREWASHING EQUIPMENT,4
